Property_Title,Property_URL,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1753-sq-ft-spid-Q85421682,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 16th floor (out of 26),"₹ 59,500",₹0,"₹ 1,19,000",Apartment/Flat,N/A,3,3,3,Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:12:15
"3BHK2BathsFlat/Apartment for Rentin Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-saraswati-narmada-ganga-yamuna-apartment-vasant-kunj-south-delhi-1800-sq-ft-spid-M81889176,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Saraswati Narmada Ganga Yamuna Apartment Vasant Kunj Delhi - 1800 Sq. Ft.- 2nd floo,"₹ 65,000",₹0,"₹ 1,30,000",Apartment/Flat,N/A,3,2,3,Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:12:25
"3BHK3BathsIndependent/Builder Floor for Rentin Preet Vihar, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-preet-vihar-east-delhi-1728-sq-ft-r2-spid-I80110947,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","Block C Preet Vihar,Block E Preet vihar,Block G Preet Vihar,Madhuban Enclave,Anand Vihar,P...MoreAbo","₹ 50,000",N/A,N/A,Independent,N/A,3,3,2,Semi-Furnished,1728 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:12:35
"3BHK3BathsIndependent/Builder Floor for Rentin Block A Defence Colony, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-block-a-defence-colony-south-delhi-1600-sq-ft-spid-N84526024,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block A Defence Colony Delhi - 1600 Sq. Ft.- 4th floor (out of 4),₹ 1.6,₹0,N/A,Independent,N/A,3,3,3,Semi-Furnished,1600 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:12:43
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1753-sq-ft-spid-Y85354858,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 6th floor (out of 26),"₹ 55,000",₹0,"₹ 1,10,000",Apartment/Flat,N/A,3,2,3,Semi-Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:12:53
"3BHK3BathsIndependent/Builder Floor for Rentin E Block RWA Greater Kailash 1, Greater Kailash 1, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-e-block-rwa-greater-kailash-1-greater-kailash-1-south-delhi-1450-sq-ft-spid-P85744780,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block RWA Greater Kailash 1 Greater Kailash 1 Delhi - 1450 Sq. Ft.- 1st floor (out of 2),"₹ 85,000",₹0,N/A,Independent,N/A,3,3,2,Furnished,1450 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:13:03
"5Bedrooms5BathsFarm House for Rentin Vasant Kunj, Delhi",https://www.99acres.com/5-bhk-bedroom-farm-house-for-rent-in-vasant-kunj-south-delhi-8091-sq-ft-spid-A85273812,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiShortlistProperty added to your shortlistContact DealerFREE STAT",₹ 4,N/A,N/A,Apartment/Flat,N/A,5,5,1,Semi-Furnished,8091 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:13:13
"3BHK3BathsFlat/Apartment for Rentin B1 Vasant Kunj, Sector B Vasant Kunj, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-b1-vasant-kunj-sector-b-vasant-kunj-south-delhi-2000-sq-ft-spid-H83861308,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in B1 Vasant Kunj Sector B Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (out of 3),₹ 1,₹0,N/A,Apartment/Flat,N/A,3,3,2,Semi-Furnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:13:22
"4BHK4BathsIndependent/Builder Floor for Rentin Greater Kailash 2, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-greater-kailash-2-south-delhi-2700-sq-ft-spid-M84873572,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyMarble FlooringView 10 More Visitor Parking AvailableOn-Call Maintenance StaffFeng Shui/ Vaas,₹ 2.3,₹0,N/A,Independent,N/A,4,4,2,Furnished,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:13:32
"4BHK4BathsIndependent/Builder Floor for Rentin Vasant Vihar, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-vasant-vihar-south-delhi-3000-sq-ft-spid-H85788888,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block MarketGurudwara SahibMunir khan tombGurudwaraState bank of india ATMCGHS Dispensary R.K.Puram ,₹ 4,₹0,"₹ 8,00,000",Independent,N/A,4,4,3,N/A,3000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:13:41
